PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATN	LOCA_NATE	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	ft	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATN_ft	LOCA_NATE_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_DPTH_ft	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
																									Ariel-CPT3	0.53	0.06			0.06			4.85	55.15	BC-003	2	0.17	MV	23.382									JPC-003	4.1	134	28	106	1.23
																									Ariel-CPT3	0.54	0.06			0.06			4.94	55.06	BC-003	4	0.33	MV	33.402									JPC-003	11.87	110	29	81	1.29
																									Ariel-CPT3	0.55	0.06			0.06			5.04	54.96	BC-003	6	0.50	MV	40.918									JPC-003	11.77				
																									Ariel-CPT3	0.56	0.06			0.07			5.13	64.87	BC-003	8	0.67	MV	52.609									JPC-003	17.77				
																									Ariel-CPT3	0.57	0.06			0.07			5.22	64.78	BC-003	10	0.83	MV	73.485									JPC-003	17.97				
																									Ariel-CPT3	0.58	0.06			0.07			5.31	64.69	BC-003	12	1.00	MV	96.032									JPC-003	21	72	28	44	1.31
																									Ariel-CPT3	0.59	0.07			0.07			5.41	64.59	BC-003	14	1.17	MV	91.021									JPC-004	0.4	107	27	80	2.16
																									Ariel-CPT3	0.6	0.07			0.07			5.5	64.5	BC-003	16	1.33	MV	58.454									JPC-004	1.8	118	28	90	1.18
																									Ariel-CPT3	0.61	0.07			0.07			5.59	64.41	BC-003	18	1.50	MV	91.021									JPC-004	4.2	124	28	96	1.4
																									Ariel-CPT3	0.62	0.07			0.07			5.68	64.32	BC-003	20	1.67	MV	79.331									JPC-004	12.22	122	28	94	1.1
																									Ariel-CPT3	0.63	0.07			0.07			5.77	64.23	BC-003	22	1.83	MV	37.578									JPC-004	12.32				
																									Ariel-CPT3	0.64	0.07			0.07			5.87	64.13	BC-003	24	2.00	MV	65.135									JPC-004	18.22				
																									Ariel-CPT3	0.65	0.07			0.07			5.96	64.04	BC-003	26	2.17	MV	108.558									JPC-004	18.32	67	28	39	1.92
																									Ariel-CPT3	0.66	0.07			0.08			6.05	73.95	BC-003	28	2.33	MV	117.743									JPC-004	21.4	74	27	47	1.01
																									Ariel-CPT3	0.67	0.07			0.07			6.15	63.85	BC-003	30	2.50	MV	128.319									JPC-005	0.5	104	28	76	
																									Ariel-CPT3	0.68	0.07			0.08			6.24	73.76	BC-003	32	2.67	MV	121.565									JPC-005	0.67				
																									Ariel-CPT3	0.69	0.07			0.07			6.33	63.67	BC-004	2	0.17	MV	29.227									JPC-005	1.8	126	28	98	
																									Ariel-CPT3	0.7	0.07			0.08			6.42	73.58	BC-004	4	0.33	MV	35.908									JPC-005	2				
																									Ariel-CPT3	0.71	0.07			0.07			6.51	63.49	BC-004	6	0.50	MV	51.774									JPC-005	4.17	121	27	94	1.22
																									Ariel-CPT3	0.72	0.07			0.08			6.61	73.39	BC-004	8	0.67	MV	53.444									JPC-005	12.15	144	29	115	
																									Ariel-CPT3	0.73	0.07			0.07			6.7	63.3	BC-004	10	0.83	MV	76.825									JPC-005	12.25				
																									Ariel-CPT3	0.74	0.07			0.07			6.79	63.21	BC-004	12	1.00	MV	63.464									JPC-005	12.45				
																									Ariel-CPT3	0.75	0.08			0.08			6.88	73.12	BC-004	14	1.17	MV	82.671									JPC-005	18.25	92	28	64	1.14
																									Ariel-CPT3	0.76	0.08			0.08			6.98	73.02	BC-004	16	1.33	MV	99.372									JPC-005	18.65				
																									Ariel-CPT3	0.77	0.08			0.08			7.07	72.93	BC-004	18	1.50	MV	101.877									JPC-005	21.17	76	28	48	1.5
																									Ariel-CPT3	0.78	0.08			0.08			7.16	72.84	BC-004	20	1.67	MV	126.094									JPC-006	0.47	126	27	99	1.37
																									Ariel-CPT3	0.79	0.08			0.09			7.25	82.75	BC-004	22	1.83	MV	145.879									JPC-006	1.97	117	27	90	1.07
																									Ariel-CPT3	0.8	0.08			0.09			7.35	82.65	BC-004	24	2.00	MV	126.968									JPC-006	4.17	83	26	57	2.58
																									Ariel-CPT3	0.81	0.08			0.09			7.44	82.56	BC-004	26	2.17	MV	135.073									JPC-006	12.18				
																									Ariel-CPT3	0.82	0.08			0.08			7.53	72.47	BC-004	28	2.33	MV	162.087									JPC-006	12.28	125	28	97	1.09
																									Ariel-CPT3	0.83	0.08			0.08			7.62	72.38	BC-004	30	2.50	MV	182.348									JPC-006	18.13	91	27	64	1.024
																									Ariel-CPT3	0.84	0.08			0.09			7.72	82.28	BC-004	32	2.67	MV	162.087									JPC-006	18.23				
																									Ariel-CPT3	0.85	0.08			0.08			7.81	72.19														JPC-006	21.3	83	29	54	1.03
																									Ariel-CPT3	0.86	0.08			0.08			7.9	72.1																			
																									Ariel-CPT3	0.87	0.08			0.08			7.99	72.01																			
																									Ariel-CPT3	0.88	0.08			0.08			8.09	71.91																			
																									Ariel-CPT3	0.89	0.08			0.08			8.18	71.82																			
																									Ariel-CPT3	0.9	0.08			0.08			8.27	71.73																			
																									Ariel-CPT3	0.91	0.08			0.08			8.36	71.64																			
																									Ariel-CPT3	0.92	0.08			0.08			8.45	71.55																			
																									Ariel-CPT3	0.93	0.08			0.08			8.55	71.45																			
																									Ariel-CPT3	0.94	0.08			0.08			8.64	71.36																			
