PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATE	LOCA_NATN	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATE_ft	LOCA_NATN_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
		MD2-PC-128-S12	PC	20	-6167.18	2520997.4	9857795.44	YES																																												
		MD2-PC-129-S16	PC	20	-5174.28	2502615.89	9845689.12	YES																																												
		MD2-PC-130-S11	PC	20	-5961.24	2521961.05	9859655.37	YES																																												
		MD2-PC-131-F	PC	30	-5155.86	2507249.75	9856664.84	NO																																												
		MD2-PC-133-S15	PC	10	-5716.86	2508725.28	9850000.14	YES																																												
		MD2-PC-134-AE	PC	20	-4693.2	2518346.27	9875091.63	YES																																												
		MD2-PC-15-S15	PC	20	-6023.19	2508619.14	9848322.45	YES																																												
		MD2-PC-16-S15-16	PC	20	-6043.32	2507824.57	9847482.82	YES																																												
		MD2-PC-22-AE	PC	20	-5505.17	2509031.88	9851532.59	YES																																												
		MD2-PC-24-S15	PC	20	-6311.88	2510661.62	9848646.69	YES																																												
		MD2-PC-26-AE	PC	20	-5576.27	2511057.96	9851872.15	YES																																												
		MD2-PC-29-AE	PC	20	-5379.12	2511373.81	9853062.57	YES																																												
		MD2-PC-31-S14	PC	20	-6151.35	2513164.78	9850813.66	YES																																												
		MD2-PC-33-F	PC	10	-5001.27	2509729.5	9859428.72	NO																																												
		MD2-PC-34-F	PC	30	-5015.12	2509022.55	9859265.72	NO																																												
		MD2-PC-36-F	PC	30	-5053.93	2509535.29	9858878.94	NO																																												
		MD2-PC-42-S14	PC	20	-6022.24	2515589.88	9853530.41	YES																																												
		MD2-PC-46-S13	PC	20	-6420.27	2517837.08	9853056.9	NO																																												
		MD2-PC-47-FF	PC	20	-6868.3	2520169.05	9850335.39	YES																																												
		MD2-PC-48-S13	PC	20	-5447.87	2517042.88	9856464.96	YES																																												
		MD2-PC-49-S13	PC	10	-6241.5	2518968.84	9854802.48	YES																																												
		MD2-PC-50-S13	PC	20	-6480.3	2518760.03	9854006.58	YES																																												
		MD2-PC-51-F	PC	30	-5027.5	2515601.97	9860539.5	NO																																												
		MD2-PC-52-F	PC	30	-5051.34	2515907.57	9860457.66	NO																																												
		MD2-PC-53-S12	PC	20	-6270	2520177.84	9855464.16	NO																																												
		MD2-PC-59-F	PC	30	-5080.21	2518192.94	9861122.39	NO																																												
		MD2-PC-60-F	PC	30	-5072.74	2518399.35	9860876.03	NO																																												
		MD2-PC-61-AE	PC	20	-5288.81	2518933.25	9859641.98	YES																																												
		MD2-PC-62-S12	PC	20	-5577.37	2519904	9859198.19	YES																																												
		MD2-PC-63-S12	PC	20	-5712.23	2519499.07	9858013	NO																																												
		MD2-PC-64-S12	PC	20	-5845.17	2520637.4	9858429.83	YES																																												
