PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATE	LOCA_NATN	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI
x	x	x	x	ft	ft	ft	ft	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	x	x	ksf	ksf	x	ft	%	x	ft	kPa	x	ft	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATE_ft	LOCA_NATN_ft	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_x	IVAN_TYPE_x	IVAN_IVAN_ksf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_kPa	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%
		KMB-JPC-40	JPC	46.69	"?5,917.0"	1780023.700	9692860.200																	CPT-72L	20.24	0.78			0.88			186.03	693.97	KMB-JPC-51	43	MV	353.3		FP-JPC-81	37.42	52				FP-JPC-81	31.42	78	38	40
		KMB-JPC-44	JPC	50.58	"?6,105.7"	1778697.500	9691831.300																	CPT-72L	20.25	0.78			0.88			186.12	693.88	KMB-JPC-51	46	MV	446.3		FP-JPC-81	40.42	68				FP-JPC-81	34.42	87	31	56
		KMB-JPC-46	JPC	55.21	"?6,169.9"	1778052.900	9690165.300																	CPT-72L	20.26	0.78			0.88			186.2	693.8	KMB-JPC-51	48.5	MV	530		FP-JPC-81	43.42	53				FP-JPC-81	37.42	73	27	46
		NEG-JPC-48	JPC	53.04	"?5,929.1"	1781326.600	9691586.700																	CPT-72L	20.27	0.78			0.88			186.28	693.72	KMB-JPC-51	52	MV	228.2		FP-JPC-81	46.42	57				FP-JPC-81	40.42	88	31	57
		KMB-JPC-50	JPC	57.02	"?6,073.8"	1781320.300	9690169.600																	CPT-72L	20.28	0.78			0.88			186.35	693.65	NEG-BC-49	0.17	MV	40.9		FP-JPC-81	49.42	53				FP-JPC-81	43.42	63	31	32
		KMB-JPC-51	JPC	51.79	"?6,196.7"	1780015.300	9687734.800																	CPT-72L	20.29	0.78			0.89			186.44	703.56	NEG-BC-49	0.17	MV	15.6		FP-JPC-81	51.92	54				FP-JPC-81	46.42	74	34	40
		KMB-JPC-58	JPC	61.06	"?6,157.0"	1775431.400	9684259.100																	CPT-72L	20.3	0.78			0.89			186.52	703.48	NEG-BC-49	0.33	MV	57.5		KMB-JPC-29	19.72	68				FP-JPC-81	49.42	65	32	33
		FP-JPC-61	JPC	52.23	"?5,447.0"	1762305.300	9683527.300																	CPT-72L	20.3	0.78			0.89			186.6	703.4	NEG-BC-49	0.5	MV	59.2		KMB-JPC-29	22.72	79				FP-JPC-81	51.92	60	31	29
		SFZ-JPC-78	JPC	54.92	"?6,027.4"	1771492.400	9675406.600																	CPT-72L	20.31	0.79			0.89			186.69	703.31	NEG-BC-49	0.67	MV	48.9		KMB-JPC-29	25.72	78				KMB-JPC-29	19.72	65	23	42
		SFZ-JPC-79	JPC	52.52	"?5,994.0"	1770188.600	9675697.800																	CPT-72L	20.32	0.79			0.89			186.77	703.23	NEG-BC-49	0.83	MV	59.1		KMB-JPC-29	28.72	88				KMB-JPC-29	22.72	78	26	52
		FP-JPC-81	JPC	51.73	"?5,700.0"	1767651.000	9675400.500																	CPT-72L	20.33	0.79			0.89			186.84	703.16	NEG-BC-49	1	MV	54		KMB-JPC-29	31.72	100				KMB-JPC-29	25.72	84	27	57
		SWG-PC-19	PC	17.58	"?5,835.0"	1757716.000	9683946.900																	CPT-72L	20.34	0.79			0.89			186.92	703.08	NEG-BC-49	1.17	MV	55		KMB-JPC-29	34.72	83				KMB-JPC-29	28.72	92	29	63
		KMB-PC-25	PC	17.21	"?5,972.6"	1767553.900	9696239.400																	CPT-72L	20.35	0.79			0.89			187.01	702.99	NEG-BC-49	1.33	MV	39.7		KMB-JPC-29	37.72	89				KMB-JPC-29	31.72	114	26	88
		KMB-PC-27	PC	17.83	"?6,175.3"	1774760.900	9687223.100																	CPT-72L	20.36	0.79			0.89			187.09	702.91	NEG-BC-49	1.5	MV	39.7		KMB-JPC-29	40.72	84				KMB-JPC-29	34.72	94	32	62
